  PID   UID   VSZ  RSS
    1     0 30720 15360
    2     0     0    0
    3     0     0    0
    4     0     0    0
    5     0     0    0
    6     0     0    0
   10     0     0    0
   11     0     0    0
   59     0 89856 37888
   62     0 86016 28672
  160     0 87808 32768
 1545     0     0    0
 1568     0 88064 33280
 1575     0 93184 35840
 1578     0 313600 134912
 1581    25 306432 124416
 1586     0 85504 29952
 1587     0 85504 29952
 1588     0 85504 29952
 1589     0 85504 29952
 1590     0 85504 29952
 1678  1000 167940 97036
 1712  1000  2144  636
